colour	x	y	group	key	clickSelects	showSelected1	PANEL
#666666	4	21.5573684210526	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	5	22.2518965517241	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	6	21.6098245614035	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	7	21.02	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	8	21.3380701754386	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	9	21.7168965517241	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	10	23.6835087719298	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	11	23.5529310344828	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	12	23.7436842105263	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	13	24.0091379310345	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	14	23.580350877193	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	15	23.2910344827586	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	16	23.3052631578947	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	17	22.9531034482759	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	18	21.9415789473684	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	19	22.5991379310345	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	20	22.97	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	21	22.97	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	22	22.97	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	23	22.97	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	0	23.333275862069	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	1	22.97	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	2	22.8855172413793	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	3	22.9184210526316	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	4	22.7756896551724	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	5	22.7722807017544	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	6	22.97	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	7	22.97	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	8	23.1727586206897	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	9	23.7780701754386	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	10	24.2879310344828	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	11	24.7408771929825	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	12	24.93	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	13	24.9214035087719	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	14	24.93	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	15	24.93	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	16	24.685	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	17	24.9128070175439	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	18	24.6934482758621	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	19	23.9414035087719	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	20	23.46	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	21	23.4428070175439	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	22	23.831724137931	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	23	23.46	6	Friday 02 Dec 2016	Friday 02 Dec 2016	Friday 02 Dec 2016	1
#666666	0	24.2164912280702	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	1	24.44	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	2	24.4485964912281	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	3	24.44	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	4	24.4314035087719	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	5	24.4315517241379	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	6	24.1649122807018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	7	23.7387931034483	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	8	23.6921052631579	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	9	23.9415517241379	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	10	24.1219298245614	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	11	24.9975862068966	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	12	25.8421052631579	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	13	26.7194827586207	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	14	27.1722807017544	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	15	27.3277586206897	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	16	26.1922807017544	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	17	25.7262068965517	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	18	25.3512280701754	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	19	24.9553448275862	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	20	24.6463157894737	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	21	23.9668965517241	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	22	23.5631578947368	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	23	23.831724137931	7	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	1
#666666	0	22.1549122807018	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	1	22.48	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	2	22.4885964912281	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	3	22.5306896551724	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	4	22.7722807017544	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	5	22.8179310344828	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	6	21.1982456140351	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	7	20.2005172413793	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	8	20.04	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	9	20.3187931034483	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	10	20.53	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	11	20.53	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	12	20.5729824561404	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	13	21.0115517241379	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	14	21.0114035087719	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	15	20.9777586206897	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
