colour	x	y	showSelected1	PANEL	group
#8DD3C7	1478624400	9	Wunderground	2	1
#8DD3C7	1478710800	6	Wunderground	2	1
#8DD3C7	1478797200	5	Wunderground	2	1
#8DD3C7	1478883600	3	Wunderground	2	1
#8DD3C7	1478970000	8	Wunderground	2	1
#8DD3C7	1479056400	8	Wunderground	2	1
#8DD3C7	1479142800	7.77777777777778	Wunderground	2	1
#8DD3C7	1479229200	7	Wunderground	2	1
#8DD3C7	1479315600	6	Wunderground	2	1
#8DD3C7	1479402000	4.22222222222222	Wunderground	2	1
#8DD3C7	1479488400	4	Wunderground	2	1
#8DD3C7	1479574800	2.22222222222222	Wunderground	2	1
#8DD3C7	1479661200	-2	Wunderground	2	1
#8DD3C7	1479747600	-1	Wunderground	2	1
#8DD3C7	1479834000	-1.83333333333333	Wunderground	2	1
#8DD3C7	1479920400	0	Wunderground	2	1
#8DD3C7	1480006800	0.777777777777777	Wunderground	2	1
#8DD3C7	1480093200	1.11111111111111	Wunderground	2	1
#8DD3C7	1480179600	0.555555555555556	Wunderground	2	1
#8DD3C7	1480266000	-1	Wunderground	2	1
#8DD3C7	1480352400	0.999999999999998	Wunderground	2	1
#8DD3C7	1480438800	2.11111111111111	Wunderground	2	1
#8DD3C7	1480525200	7	Wunderground	2	1
#8DD3C7	1480611600	4.44444444444444	Wunderground	2	1
#8DD3C7	1480698000	2	Wunderground	2	1
#8DD3C7	1480784400	-1	Wunderground	2	1
#8DD3C7	1480870800	-3	Wunderground	2	1
#8DD3C7	1480957200	-1	Wunderground	2	1
#8DD3C7	1481043600	0.999999999999998	Wunderground	2	1
#8DD3C7	1481130000	0.999999999999998	Wunderground	2	1
#8DD3C7	1481216400	-4	Wunderground	2	1
#8DD3C7	1481302800	-8	Wunderground	2	1
#8DD3C7	1481389200	-5	Wunderground	2	1
#8DD3C7	1481475600	-4	Wunderground	2	1
#8DD3C7	1481562000	-0.277777777777778	Wunderground	2	1
#8DD3C7	1481648400	-5	Wunderground	2	1
#8DD3C7	1481734800	-13	Wunderground	2	1
#8DD3C7	1481821200	-19	Wunderground	2	1
#8DD3C7	1481907600	-12	Wunderground	2	1
#8DD3C7	1481994000	-5.27777777777778	Wunderground	2	1
#8DD3C7	1482080400	-16	Wunderground	2	1
#8DD3C7	1482166800	-5.5	Wunderground	2	1
