colour	x	y	key	group	clickSelects	showSelected1	PANEL
#8DD3C7	8	20.5555555555556	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	8	21	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	9	23	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	10	24	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	11	25	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	11	25	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	12	27	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	13	26	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	14	26.1111111111111	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	14	26	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	14	26	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	14	26	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	15	26	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	16	27	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	17	26.1111111111111	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	17	26	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	17	23	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	17	20	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	17	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	17	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	18	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	19	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	19	20	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	20	19.4444444444444	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	20	20	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	21	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	22	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	23	18.3333333333333	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	23	18	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	0	11	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	1	10	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	2	9.44444444444444	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	2	10	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	3	9	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	4	9	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	5	8	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	6	8	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	7	8	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	8	9.44444444444444	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	8	9	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	9	10	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	10	13	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	11	12.7777777777778	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	11	13	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	12	15	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	13	15	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
