x	y	label	key	clickSelects	showSelected1	PANEL	group
23	14.4444444444444	Thursday 02 Nov 2017	Thursday 02 Nov 2017	Thursday 02 Nov 2017	Thursday 02 Nov 2017	2	502
23	5.22222222222222	Friday 03 Nov 2017	Friday 03 Nov 2017	Friday 03 Nov 2017	Friday 03 Nov 2017	2	14
23	2.72222222222222	Saturday 04 Nov 2017	Saturday 04 Nov 2017	Saturday 04 Nov 2017	Saturday 04 Nov 2017	2	264
22	12.2222222222222	Sunday 05 Nov 2017	Sunday 05 Nov 2017	Sunday 05 Nov 2017	Sunday 05 Nov 2017	2	391
23	2.38888888888889	Monday 06 Nov 2017	Monday 06 Nov 2017	Monday 06 Nov 2017	Monday 06 Nov 2017	2	148
22	0.555555555555556	Tuesday 07 Nov 2017	Tuesday 07 Nov 2017	Tuesday 07 Nov 2017	Tuesday 07 Nov 2017	2	644
23	4.61111111111111	Wednesday 08 Nov 2017	Wednesday 08 Nov 2017	Wednesday 08 Nov 2017	Wednesday 08 Nov 2017	2	772
23	4.77777777777778	Thursday 09 Nov 2017	Thursday 09 Nov 2017	Thursday 09 Nov 2017	Thursday 09 Nov 2017	2	530
23	-8.27777777777778	Friday 10 Nov 2017	Friday 10 Nov 2017	Friday 10 Nov 2017	Friday 10 Nov 2017	2	42
22	-3.88888888888889	Saturday 11 Nov 2017	Saturday 11 Nov 2017	Saturday 11 Nov 2017	Saturday 11 Nov 2017	2	292
23	-2	Sunday 12 Nov 2017	Sunday 12 Nov 2017	Sunday 12 Nov 2017	Sunday 12 Nov 2017	2	419
22	0.555555555555556	Monday 13 Nov 2017	Monday 13 Nov 2017	Monday 13 Nov 2017	Monday 13 Nov 2017	2	177
22	2.38888888888889	Tuesday 14 Nov 2017	Tuesday 14 Nov 2017	Tuesday 14 Nov 2017	Tuesday 14 Nov 2017	2	673
22	4	Wednesday 15 Nov 2017	Wednesday 15 Nov 2017	Wednesday 15 Nov 2017	Wednesday 15 Nov 2017	2	801
22	3.77777777777778	Thursday 16 Nov 2017	Thursday 16 Nov 2017	Thursday 16 Nov 2017	Thursday 16 Nov 2017	2	559
23	-3.22222222222222	Friday 17 Nov 2017	Friday 17 Nov 2017	Friday 17 Nov 2017	Friday 17 Nov 2017	2	71
22	-0.222222222222221	Saturday 18 Nov 2017	Saturday 18 Nov 2017	Saturday 18 Nov 2017	Saturday 18 Nov 2017	2	321
22	-2.61111111111111	Sunday 19 Nov 2017	Sunday 19 Nov 2017	Sunday 19 Nov 2017	Sunday 19 Nov 2017	2	448
23	-5.22222222222222	Monday 20 Nov 2017	Monday 20 Nov 2017	Monday 20 Nov 2017	Monday 20 Nov 2017	2	206
23	8.22222222222222	Tuesday 21 Nov 2017	Tuesday 21 Nov 2017	Tuesday 21 Nov 2017	Tuesday 21 Nov 2017	2	702
22	-3.77777777777778	Wednesday 22 Nov 2017	Wednesday 22 Nov 2017	Wednesday 22 Nov 2017	Wednesday 22 Nov 2017	2	830
22	1.11111111111111	Thursday 23 Nov 2017	Thursday 23 Nov 2017	Thursday 23 Nov 2017	Thursday 23 Nov 2017	2	587
23	6	Friday 24 Nov 2017	Friday 24 Nov 2017	Friday 24 Nov 2017	Friday 24 Nov 2017	2	99
23	3.72222222222222	Saturday 25 Nov 2017	Saturday 25 Nov 2017	Saturday 25 Nov 2017	Saturday 25 Nov 2017	2	349
23	-2.61111111111111	Sunday 26 Nov 2017	Sunday 26 Nov 2017	Sunday 26 Nov 2017	Sunday 26 Nov 2017	2	476
23	-9.88888888888889	Monday 27 Nov 2017	Monday 27 Nov 2017	Monday 27 Nov 2017	Monday 27 Nov 2017	2	234
23	5.22222222222222	Tuesday 28 Nov 2017	Tuesday 28 Nov 2017	Tuesday 28 Nov 2017	Tuesday 28 Nov 2017	2	730
23	-2.61111111111111	Wednesday 29 Nov 2017	Wednesday 29 Nov 2017	Wednesday 29 Nov 2017	Wednesday 29 Nov 2017	2	857
22	3.27777777777778	Thursday 30 Nov 2017	Thursday 30 Nov 2017	Thursday 30 Nov 2017	Thursday 30 Nov 2017	2	613
23	1.22222222222222	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	2	2
23	1.22222222222222	Saturday 02 Dec 2017	Saturday 02 Dec 2017	Saturday 02 Dec 2017	Saturday 02 Dec 2017	2	252
22	0.611111111111112	Sunday 03 Dec 2017	Sunday 03 Dec 2017	Sunday 03 Dec 2017	Sunday 03 Dec 2017	2	379
22	4.88888888888889	Monday 04 Dec 2017	Monday 04 Dec 2017	Monday 04 Dec 2017	Monday 04 Dec 2017	2	136
23	6.72222222222222	Tuesday 05 Dec 2017	Tuesday 05 Dec 2017	Tuesday 05 Dec 2017	Tuesday 05 Dec 2017	2	632
23	0.999999999999998	Wednesday 06 Dec 2017	Wednesday 06 Dec 2017	Wednesday 06 Dec 2017	Wednesday 06 Dec 2017	2	760
23	-0.777777777777777	Thursday 07 Dec 2017	Thursday 07 Dec 2017	Thursday 07 Dec 2017	Thursday 07 Dec 2017	2	518
23	0	Friday 08 Dec 2017	Friday 08 Dec 2017	Friday 08 Dec 2017	Friday 08 Dec 2017	2	30
23	-3	Saturday 09 Dec 2017	Saturday 09 Dec 2017	Saturday 09 Dec 2017	Saturday 09 Dec 2017	2	280
23	-1.77777777777778	Sunday 10 Dec 2017	Sunday 10 Dec 2017	Sunday 10 Dec 2017	Sunday 10 Dec 2017	2	407
23	-9.38888888888889	Monday 11 Dec 2017	Monday 11 Dec 2017	Monday 11 Dec 2017	Monday 11 Dec 2017	2	165
22	-6.5	Tuesday 12 Dec 2017	Tuesday 12 Dec 2017	Tuesday 12 Dec 2017	Tuesday 12 Dec 2017	2	661
23	-14.7777777777778	Wednesday 13 Dec 2017	Wednesday 13 Dec 2017	Wednesday 13 Dec 2017	Wednesday 13 Dec 2017	2	789
23	-14.8888888888889	Thursday 14 Dec 2017	Thursday 14 Dec 2017	Thursday 14 Dec 2017	Thursday 14 Dec 2017	2	547
23	-10.5	Friday 15 Dec 2017	Friday 15 Dec 2017	Friday 15 Dec 2017	Friday 15 Dec 2017	2	59
23	-11.3888888888889	Saturday 16 Dec 2017	Saturday 16 Dec 2017	Saturday 16 Dec 2017	Saturday 16 Dec 2017	2	309
23	-13	Sunday 17 Dec 2017	Sunday 17 Dec 2017	Sunday 17 Dec 2017	Sunday 17 Dec 2017	2	436
